product_id,product_name,listing_price,sale_price,discounted_sale_price,brand,description,rating,reviews
AQ1289-003,Nike Free RN 5.0,"USD 7,995.00","USD 5,597.00","USD 5,597.00",Nike,"Ideal for runs up to 3 miles, the Nike Free RN 5.0 returns to its roots as a natural motion shoe. An updated flex groove pattern and modified midsole foam provides more flexibility than its predecessor, creating a barefoot sensation with every step. At the upper, breathable and stretchy mesh moves with your foot, while synthetic suede overlays provide stable support.",3.9,25
AQ5707-001,Nike Free RN Flyknit 3.0,"USD 10,995.00","USD 7,697.00","USD 7,697.00",Nike,"Ideal for runs up to 3 miles, the Nike Free RN Flyknit 3.0 delivers a lace-free design so you can slip in and hit your stride. An updated flex groove pattern and modified midsole foam provides more flexibility than its predecessor, creating a barefoot sensation with every step. A mix of supportive and stretchy yarns are zonally placed for comfort that moves with your foot.",3.9,10
AQ7497-300,Nike Air Zoom Winflo 6,USD 0.00,"USD 7,995.00","USD 7,995.00",Nike,"In a fluid design that speaks the language of fast, the Nike Air Zoom Winflo 6 has less bulk and a more sculpted profile than previous versions. It has 2 cushioning units for targeted responsiveness in the forefoot and heel. Up top, mesh in the upper provides breathability.",5,3
AQ8228-102,Nike Air Zoom Winflo 6,USD 0.00,"USD 7,995.00","USD 7,995.00",Nike,"In a fluid design that speaks the language of fast, the Nike Air Zoom Winflo 6 has less bulk and a more sculpted profile than previous versions. It has 2 Zoom Air units for targeted responsiveness in the forefoot and heel. On the top, engineered mesh optimises breathability.",3.7,10
BQ4630-500,Kyrie 6 'Enlightenment',"USD 10,995.00","USD 8,797.00","USD 8,797.00",Nike,"In spiritual circles, the colour purple represents enlightenment. It speaks to being fully connected to your spiritual mind by tapping into an inner source of potential that was otherwise undiscovered. The Kyrie 6 'Enlightenment' plays up the unseen spirituality theme with an all-seeing eye graphic on the side of the upper and a purple colour scheme.",4.4,10
BQ4630-500,Kyrie 6 'Enlightenment',"USD 10,995.00","USD 8,797.00","USD 8,797.00",Nike,"In spiritual circles, the colour purple represents enlightenment. It speaks to being fully connected to your spiritual mind by tapping into an inner source of potential that was otherwise undiscovered. The Kyrie 6 'Enlightenment' plays up the unseen spirituality theme with an all-seeing eye graphic on the side of the upper and a purple colour scheme.",4.4,10
CI9949-001,KD13 EP,USD 0.00,"USD 12,995.00","USD 12,995.00",Nike,"In the game's crucial moments, KD thrives. He takes over on both ends of the court, making defenders fear his unstoppable moves and shutting down opponents with his defensive prowess. The KD13 EP helps him play at an elite level with full-length cushioning and an extra forefoot unit. This EP version is designed with an extra-durable outsole for use on outdoor courts.",0,0
CJ0625-700,Air Max 97 LX,USD 0.00,"USD 15,995.00","USD 15,995.00",Nike,"Inspired by a high-speed bullet train, the Nike Air Max 97 LX brings back a running icon with a plush, lightweight upgrade. It modernises a retro design with a moulded upper, welded overlays and a Max Air unit for all-day comfort.",0,0
CI5546-100,Nike Blazer Low QS Flyleather with at least 50% leather fibre,USD 0.00,"USD 6,495.00","USD 6,495.00",Nike,"Inspired by basketball, the Nike Blazer Low QS Flyleather features an innovative Flyleather upper for a premium look and bold graphics by artist Steven Harrington.",2,2
CI3867-001,Nike Air Max 200,USD 0.00,"USD 9,995.00","USD 9,995.00",Nike,"Inspired by energy patterns radiating from Earth—like the flow of lava and ocean waves—the Nike Air Max 200 offers a springy Air Max unit for flawless comfort. With exceptional cushioning and modern detailing, this shoe radiates cool.",0,0
CI0808-100,NikeCourt Blanc,USD 0.00,"USD 5,995.00","USD 5,995.00",Nike,"Inspired by heritage models, the NikeCourt Blanc goes with anything and everything. Leather in the upper gives you a clean look with pops of colour for a simple, versatile style that nods to the past.",0,0
CK9671-001,Nike Air VaporMax 360,USD 0.00,"USD 18,995.00","USD 18,995.00",Nike,"Inspired by heritage running shoes like the 2006 Air Max 360, the Nike Air VaporMax 360 re-imagines full-length Air with its lighter, more flexible design. The full-length foam midsole adds to the comfort while bold colours create a fresh, modern look.",4,1
CD7288-001,Nike Zoom Rival Fly,"USD 7,995.00","USD 6,397.00","USD 6,397.00",Nike,"Inspired by Japan's Ekiden relay runners, the Nike Zoom Rival Fly features a futuristic look with a Zoom Air unit in the forefoot that gives you responsive propulsion. Flex grooves underneath optimise toe-off and soft foam cushions your stride. The mesh and synthetic upper blends strength and breathability.",5,1
CD7287-003,Nike Zoom Rival Fly,"USD 7,995.00","USD 4,797.00","USD 4,797.00",Nike,"Inspired by Japan's Ekiden relay runners, the Nike Zoom Rival Fly features a futuristic look with a Zoom Air unit in the forefoot that gives you responsive propulsion. Flex grooves underneath optimise toe-off and soft foam cushions your stride. The mesh and synthetic upper blends strength and breathability.",0,0
CJ0509-001,Nike Zoom Rival Fly 2,USD 0.00,"USD 7,995.00","USD 7,995.00",Nike,"Inspired by Japan's relay runners, the Nike Zoom Rival Fly 2 features a futuristic look with responsive forefoot cushioning. Flex grooves underneath optimise toe-off, while soft foam keeps it cushioned and comfortable throughout your stride.",0,0
BQ6623-070,Jordan Proto-Max 720,"USD 15,995.00","USD 12,797.00","USD 12,797.00",Nike,"Inspired by outer space flight, the Jordan Proto-Max 720 provides all-day comfort with a future-forward look. An outer shroud covers the sock-like bootie construction, while Nike Air cushions every step.",4.4,18
BQ6623-070,Jordan Proto-Max 720,"USD 15,995.00","USD 12,797.00","USD 12,797.00",Nike,"Inspired by outer space flight, the Jordan Proto-Max 720 provides all-day comfort with a future-forward look. An outer shroud covers the sock-like bootie construction, while Nike Air cushions every step.",4.4,18
CK5668-600,Nike Air Max 200 SP,"USD 11,995.00","USD 8,397.00","USD 8,397.00",Nike,"Inspired by patterns of energy radiating from Earth, the Nike Air Max 200 SP boasts the largest Max Air unit to date. With exceptional cushioning and modern detailing that includes denim and canvas on the upper, this shoe radiates cool while providing extreme comfort.",0,0
AT6175-100,Nike Air Max 200,"USD 9,995.00","USD 5,997.00","USD 5,997.00",Nike,"Inspired by patterns of energy radiating from Earth—like the flow of lava and the rhythmic ocean waves—the Nike Air Max 200 boasts the largest Max Air unit to date. With exceptional cushioning and modern detailing, this shoe radiates cool while providing optimal comfort.",4.6,16
CJ2586-100,Nike Cortez '72 S.D.,"USD 7,995.00","USD 4,797.00","USD 4,797.00",Nike,"Inspired by Phil Knight's ""Shoe Dog"", the Nike Cortez '72 S.D. returns to the OG design with zigzag edges, an exposed foam tongue and minimalist leather. Why? Because you don't change what works.",4.4,9
AO0354-108,Nike Zoom 2K,USD 0.00,"USD 6,995.00","USD 6,995.00",Nike,"Inspired by running silhouettes from the early 2000s, the Nike Zoom 2K is reimagining the golden age of running sneakers. A classic Zoom bag takes it back to where it began, while the rubber wings that wrap the outsole push the design into the future.",4.9,8
CI3794-600,Jordan Proto-React Z,"USD 13,995.00","USD 11,197.00","USD 11,197.00",Nike,"Inspired by spacesuits, the Jordan Proto-React Z has a futuristic look with a fit and feel made for all-day wear. Responsive cushioning gives you more bounce with less weight, while an aeronautics-inspired shroud and snug bootie help keep you strapped in.",4.6,5
CI3794-600,Jordan Proto-React Z,"USD 13,995.00","USD 11,197.00","USD 11,197.00",Nike,"Inspired by spacesuits, the Jordan Proto-React Z has a futuristic look with a fit and feel made for all-day wear. Responsive cushioning gives you more bounce with less weight, while an aeronautics-inspired shroud and snug bootie help keep you strapped in.",4.6,5
AT5303-100,Nike Signal D/MS/X,"USD 10,995.00","USD 7,697.00","USD 7,697.00",Nike,"Inspired by the chopping, cutting and rebuilding of custom cars and bikes, the Nike Signal D/MS/X overturns the idea of sportswear with style and attitude. With layered materials and intricate detailing, it uses innovations in an irreverent way that's more aesthetic than athletic.",2.7,3
AV2605-101,Nike React Presto,"USD 9,995.00","USD 5,997.00","USD 5,997.00",Nike,"Inspired by the early 2000s original, the Nike React Presto puts an exaggerated spin on an unconventional icon. Nike React foam delivers an expressive look with a lightweight, bouncy feel and a whole lot of personality.",3.7,27
553558-125,Air Jordan 1 Low,USD 0.00,"USD 8,995.00","USD 8,995.00",Nike,"Inspired by the original that debuted in 1985, the Air Jordan 1 Low offers a clean, classic look that's familiar yet always fresh. It's made for casual mode, with an iconic design that goes with everything and never goes out of style.",4.6,34
553558-125,Air Jordan 1 Low,USD 0.00,"USD 8,995.00","USD 8,995.00",Nike,"Inspired by the original that debuted in 1985, the Air Jordan 1 Low offers a clean, classic look that's familiar yet always fresh. It's made for casual mode, with an iconic design that goes with everything and never goes out of style.",4.6,34
CT5062-100,Air Max 200 20,USD 0.00,"USD 10,995.00","USD 10,995.00",Nike,"Inspired by the shimmer of bubbles and water, the Nike Air Max 200 20 features an iridescent design that wows. The shoe boasts a large Air Max unit and exceptional cushioning. Modern detailing radiates cool while providing extreme comfort.",0,0
AT8241-002,Nike Zoom Fly 3,USD 0.00,"USD 13,995.00","USD 13,995.00",Nike,"Inspired by the Vaporfly, the Nike Zoom Fly 3 gives distance runners race-day comfort and durability. The power of a carbon-fibre plate and responsive cushioning keeps you in the running mile after mile.",4.8,12
AT8240-003,Nike Zoom Fly 3,USD 0.00,"USD 13,995.00","USD 13,995.00",Nike,"Inspired by the Vaporfly, the Nike Zoom Fly 3 gives distance runners race-day comfort and durability. The power of a carbon-fibre plate keeps you in the running mile after mile.",4,30
BV7756-001,Nike Zoom Fly 3 Premium,"USD 14,995.00","USD 10,497.00","USD 10,497.00",Nike,"Inspired by the Vaporfly, the Nike Zoom Fly 3 gives distance runners race-day comfort and durability. The power of a carbon-fibre plate keeps you in the running mile after mile.",5,1
CJ0404-001,Nike Zoom Fly 3 Premium,USD 0.00,"USD 14,995.00","USD 14,995.00",Nike,"Inspired by the Vaporfly, the Nike Zoom Fly 3 Premium gives distance runners race-day comfort and durability. The power of a carbon-fibre plate and responsive cushioning keeps you in the running mile after mile. Colourful skins throughout the upper give it a deluxe look.",0,0
CD4570-300,Nike Zoom Fly 3 Premium,USD 0.00,"USD 14,995.00","USD 14,995.00",Nike,"Inspired by the Vaporfly, the Nike Zoom Fly 3 Premium gives distance runners race-day comfort and durability. The power of a carbon-fibre plate keeps you in the running mile after mile.",5,3
BQ5401-001,Nike AlphaDunk,"USD 15,995.00","USD 11,197.00","USD 11,197.00",Nike,"Join the hoops uprising in the AlphaDunk, one of Nike Basketball's bounciest game shoes to date. The revamped upper construction is light and supportive and a large cushioning unit spans nearly the entire forefoot, giving you all the responsiveness you can handle on the court.",2.9,12
CJ6971-001,Nike x Undercover React,"USD 16,995.00","USD 13,597.00","USD 13,597.00",Nike,Jun Takahashi's vision of chaos and balance comes to life in the modern age. The Nike x Undercover React pairs a classic welly with several technologies to create a shoe unlike any other.,3.7,3
CU3459-200,Nike x Undercover React Presto,USD 0.00,"USD 15,995.00","USD 15,995.00",Nike,"Jun Takahashi's vision of chaos and balance continues with the Nike x Undercover React Presto. An OG Presto design uses new details that pay homage to last season's collaboration, the React Boot.",5,1
CT1104-700,Nike Air Max Triax,USD 0.00,"USD 10,995.00","USD 10,995.00",Nike,"Keep your fire burning in the Nike Air Max Triax. It features the same iconic shape and large-volume Air unit as the OG, bringing back the classic comfort and style that's known and loved.",0,0
AR4229-003,Nike Zoom KD12,USD 0.00,"USD 12,995.00","USD 12,995.00",Nike,"Kevin Durant always looks relaxed—until he attacks. His game is reserved yet explosive, difficult to guard and impossible to stop. The KD12 was built for his dominance and endless energy all game long, with the latest innovation in Nike Zoom Air technology.",4.6,18
CK1195-101,Nike Zoom KD12,USD 0.00,"USD 12,995.00","USD 12,995.00",Nike,"Kevin Durant always looks relaxed—until he attacks. His game is reserved yet explosive, difficult to guard and impossible to stop. The KD12 was built for his dominance and endless energy all game long, with the latest innovation in Nike Zoom Air technology.",5,1
AR4229-003,Nike Zoom KD12,USD 0.00,"USD 12,995.00","USD 12,995.00",Nike,"Kevin Durant always looks relaxed—until he attacks. His game is reserved yet explosive, difficult to guard and impossible to stop. The KD12 was built for his dominance and endless energy all game long, with the latest innovation in Nike Zoom Air technology.",4.6,18
AO2605-600,Nike Zoom KD11 EP,USD 0.00,"USD 14,995.00","USD 14,995.00",Nike,"Kevin Durant is one of the most versatile and unpredictable players in the NBA. There's almost nothing he can't do—and his Nike Zoom KD11 EP Basketball Shoe is designed to keep up. It has an all-new cushioning combination and a light yet strong Flyknit upper to help keep him going, day in and day out.",0,0
AT1198-401,KD Trey 5 VII EP,USD 0.00,"USD 7,995.00","USD 7,995.00",Nike,"Kevin Durant likes a shoe that feels broken-in straight away but still provides containment and support. The KD Trey 5 VII EP hits the ground running with a combination of bouncy cushioning with a precise, supportive fit that's ready to go right out of the box.",0,0
AT1198-401,KD Trey 5 VII EP,USD 0.00,"USD 7,995.00","USD 7,995.00",Nike,"Kevin Durant likes a shoe that feels broken-in straight away but still provides containment and support. The KD Trey 5 VII EP hits the ground running with a combination of bouncy cushioning with a precise, supportive fit that's ready to go right out of the box.",0,0
AV6337-003,Kyrie Low 2,USD 0.00,"USD 9,495.00","USD 9,495.00",Nike,"Kyrie's ability to make quick, sharp cuts while handling the ball gives his game an unrivalled edge. Loaded with responsive cushioning, the Kyrie Low 2 features a curved outsole and traction that wraps up the sides, ideal for quick players who continually work the angles to break down the defence.",4.5,4
CI2668-004,LeBron 16 Low,"USD 13,995.00","USD 11,197.00","USD 11,197.00",Nike,"LeBron is unstoppable on the court and just as influential off of it. The year 2003, LeBron's rookie season and a pivotal year in culture, inspires the LeBron 16 Low. It is powered by Max Air and Zoom Air cushioning technologies, and embodies his clout and versatility.",4.7,17
CI2668-004,LeBron 16 Low,"USD 13,995.00","USD 11,197.00","USD 11,197.00",Nike,"LeBron is unstoppable on the court and just as influential off of it. The year 2003, LeBron's rookie season and a pivotal year in culture, inspires the LeBron 16 Low. It is powered by Max Air and Zoom Air cushioning technologies, and embodies his clout and versatility.",0,0
AR4225-003,LeBron Soldier 13 SFG,"USD 11,995.00","USD 9,597.00","USD 9,597.00",Nike,"LeBron works hard in the offseason, getting stronger and fine-tuning his already devastating skills. Inspired by his dedication and commitment to inclusivity, the Soldier 13 SFG combines LeBron-tested cushioning, containment and support with a wide, flexible collar and lace-free closure that lets all players get in and out of the shoe with ease.",4.2,6
AR4225-100,LeBron Soldier 13 SFG,"USD 11,995.00","USD 9,597.00","USD 9,597.00",Nike,"LeBron works hard in the offseason, getting stronger and fine-tuning his already devastating skills. Inspired by his dedication and commitment to inclusivity, the Soldier 13 SFG combines LeBron-tested cushioning, containment and support with a wide, flexible collar and lace-free closure that lets all players get in and out of the shoe with ease.",4.2,6
CJ1646-600,Nike Air Force 1 '07 Essential,USD 0.00,"USD 7,495.00","USD 7,495.00",Nike,Let your shoe game shimmer in the Nike Air Force 1 '07 Essential. It takes the classic AF-1 design to the next level with its premium leather upper and iridescent Swoosh.,0,0
CQ0278-200,Air Jordan 1 Jester XX Low Laced SE,"USD 8,995.00","USD 7,197.00","USD 7,197.00",Nike,"Lighten up, have some fun, and sweat nothing except for comfort. The Air Jordan 1 Jester XX Low Laced SE features premium materials and a smooth, satiny lining, giving you plenty of support to match the step-in comfort. The shiny gold-tone finish and wavy, unconventional midsole gives it some playful attitude and added flexibility.",0,0
AO1742-004,Nike Joyride CC,"USD 11,995.00","USD 8,397.00","USD 8,397.00",Nike,"Lounge wherever you go and let the Nike Joyride CC take you into a new world of cosy by placing your feet directly on the soft cushioning of its innovative bead-pods. Bold colour-blocking and exaggerated textures add unrivalled depth to your fun, edgy attitude.",5,4
AT6395-002,Nike Joyride CC3 Setter,"USD 14,995.00","USD 10,497.00","USD 10,497.00",Nike,"Lounge wherever you go and let the Nike Joyride CC3 Setter take you into a new world of comfort. It places your feet directly on soft foam and innovative bead-pods for extra comfort, while exaggerated textures add unrivalled depth to your edgy attitude.",4,6
AJ6844-007,Nike Joyride Optik,"USD 15,995.00","USD 11,197.00","USD 11,197.00",Nike,Lounge wherever you go and let the Nike Joyride Optik take you into a new world of cosy by placing your feet directly on the soft cushioning of its innovative bead-pods. The sleek silhouette features a zip-closure system and fun colour accents for a unique look that doesn't sacrifice comfort.,0,0
CD2803-001,Jordan Hydro 8,USD 0.00,"USD 3,995.00","USD 3,995.00",Nike,"Made for athletes to relax in pre- and post-matches, the Jordan Hydro 8 works as an everyday, anytime slide. It offers the plush cushioning of a Solarsoft foam footbed and an adjustable strap.",4,1
922474-001,Nike SFB Gen 2 20cm (approx.),USD 0.00,"USD 13,995.00","USD 13,995.00",Nike,"Made from durable nylon canvas and synthetic leather, the Nike SFB Gen 2 20cm (approx.) is a lightweight tactical boot designed for speed and flexibility over rough terrain. Inspired by Nike Free technology, the flexible sole is equipped with an aggressive traction pattern for multi-surface grip and an internal rock shield to help prevent punctures.",3.8,15
922474-001,Nike SFB Gen 2 20cm (approx.),USD 0.00,"USD 13,995.00","USD 13,995.00",Nike,"Made from durable nylon canvas and synthetic leather, the Nike SFB Gen 2 20cm (approx.) is a lightweight tactical boot designed for speed and flexibility over rough terrain. Inspired by Nike Free technology, the flexible sole is equipped with an aggressive traction pattern for multi-surface grip and an internal rock shield to help prevent punctures.",3.8,15
488161-602,Nike Solarsoft,USD 0.00,"USD 1,595.00","USD 1,595.00",Nike,"Made with soft, pliable foam infused with grooves for superb airflow, the Nike Solarsoft Women's Flip Flop is a must-have in warm weather.",3.8,5
CU5646-001,LeBron 7 QS,USD 0.00,"USD 16,995.00","USD 16,995.00",Nike,"Make your head-turning journey to the top comfortable. Built strong and sleek, the LeBron 7 QS features a mix of materials on the upper for a look that lasts. Metal accents and multiple LeBron crests celebrate a king, while full-length cushioning graces your every step.",5,1
487754-303,Nike Air Tailwind 79,USD 0.00,"USD 7,995.00","USD 7,995.00",Nike,"Making its debut in 1978 for the Honolulu Marathon, the Nike Air Tailwind was a revolution in cushioning. Now, a racing icon returns with the Nike Air Tailwind 79, featuring nearly original materials and colours, plus the Nike Air unit that made it a winner.",3.9,17
CW4409-100,Air Jordan 13 Retro Chinese New Year,USD 0.00,"USD 19,995.00","USD 19,995.00",Nike,"Michael Jordan's stealthy creativity on the court earned him the nickname ""Black Cat"". The Air Jordan 13 Retro is based on the OG model and has responsive cushioning and premium materials. This version features special details to honour the Chinese New Year.",5,1
CD2053-105,Nike Air Max Triax 96,USD 0.00,"USD 10,995.00","USD 10,995.00",Nike,"More than 20 years after its initial release, the Nike Air Max Triax 96 returns as a cult classic. Featuring the same iconic shape and large-volume Air unit, it brings back the classic comfort and style you remember.",5,2
812654-011,Nike Tanjun,"USD 4,795.00","USD 3,357.00","USD 3,357.00",Nike,"Named after the Japanese word for ""simplicity"", the Nike Tanjun Men's Shoe offers a streamlined, modern design for an elevated everyday look.",4.2,25
812655-011,Nike Tanjun,"USD 4,995.00","USD 3,997.00","USD 3,997.00",Nike,"Named after the Japanese word for simplicity, the Nike Tanjun Women's Shoe offers an elegant, modern design for an elevated everyday look.",4,53
AQ5708-201,Nike Free RN Flyknit 3.0,"USD 10,995.00","USD 6,597.00","USD 6,597.00",Nike,Never worry about laces in the Nike Free RN Flyknit 3.0. This remix leaves them out—letting you slip in quickly and hit your stride even faster. Supportive yarns join stretchy Flyknit for a lightweight upper that feels like a second skin. Heel-to-toe grooves in outsole move and bend with every stride.,4.1,13
BV7782-001,Nike Free RN Flyknit 3.0,"USD 11,995.00","USD 7,197.00","USD 7,197.00",Nike,Never worry about laces in the Nike Free RN Flyknit 3.0. This remix leaves them out—letting you slip in quickly and hit your stride even faster. Supportive yarns join stretchy technology for a lightweight upper that feels as good as it looks. Heel-to-toe grooves in the outsole move and bend with every stride.,0,0
CU0814-102,Nike Air Max 90 FlyEase,USD 0.00,"USD 9,995.00","USD 9,995.00",Nike,"Nike Sportswear's first collaboration by the Hatfield brothers, the Nike Air Max 90 FlyEase combines the timelessness of Tinker's original design with Tobie's FlyEase technology. The heel collapses when you step in then snaps back into place, providing quick, easy access to one of history's most iconic sneakers.",4,1
AR4561-200,Nike Zoom Fly Flyknit,USD 0.00,"USD 15,995.00","USD 15,995.00",Nike,Nike Zoom Fly Flyknit Men's Running Shoe is built for record-breaking speed. The Flyknit upper delivers ultra-lightweight support that fits like a glove.,4.2,42
AH8050-100,Nike Air Max 270,USD 0.00,"USD 13,995.00","USD 13,995.00",Nike,"Nike's first lifestyle Air Max lets you greet the streets with the soft, smooth and resilient ride of the Nike Air Max 270. The design draws inspiration from the Air Max pantheon, showcasing Nike's greatest innovation with its large window and fresh array of colours.",3.8,81
BV3387-400,Nike Air Max 270 React SE,USD 0.00,"USD 13,995.00","USD 13,995.00",Nike,"Nike's first lifestyle Air Max meets the softest, smoothest and most resilient foam yet in the Nike Air Max 270 React. The design draws from the Air Max pantheon, showcasing Nike's greatest innovation with its large window. Details on the upper take inspiration from bubble wrap and add a playful, modern style that looks as good as it feels.",0,0
CT1264-101,Nike Air Max 270 React,USD 0.00,"USD 12,995.00","USD 12,995.00",Nike,"Nike's first lifestyle Air Max meets the softest, smoothest, most resilient foam yet in the Nike Air Max 270 React. The design draws inspiration from the Air Max pantheon, showcasing Nike's greatest innovation with its large window and fresh array of colours.",4,1
CJ6106-100,Nike x Hawkins High Cortez,USD 0.00,"USD 9,995.00","USD 9,995.00",Nike,"Nodding to Hawkins High from the hit TV show ""Stranger Things"", the Nike x Hawkins High Cortez combines premium materials laid out using the Tiger Pride green and orange with hidden details and show references throughout, including three distinct ""Stranger Things"" pins.",5,1
CN8490-100,Nike Air Max 90,USD 0.00,"USD 9,995.00","USD 9,995.00",Nike,"Nothing as fly, nothing as comfortable, nothing as proven. The Nike Air Max 90 stays true to its OG running roots with the iconic Waffle sole, stitched overlays and classic TPU details. Classic colours celebrate your fresh look while Max Air cushioning adds comfort to the journey.",5,3
CK3309-001,Nike x Olivia Kim Air Max 98,"USD 15,995.00","USD 11,197.00","USD 11,197.00",Nike,"NYC in the '90s—if you spent much time in one of the many neighbourhoods, you'd hear SUVs driving around bumping Jamaican dancehall music at full blast. The Nike x Olivia Kim Air Max 98 celebrates the music and culture of NYC as remembered by designer Olivia. The fresh red-yellow-green take on the iconic Air Max 98 captures the vibrancy of the city's Rastafarian community.",4.5,2
CK3314-400,Nike x Olivia Kim Air Force 1 '07,USD 0.00,"USD 9,995.00","USD 9,995.00",Nike,"Olivia Kim remembers NYC in the '90s. The city danced at all-night raves, and the fashion was bomb dot com. The Nike x Olivia Kim AF-1 '07 captures the outrageous '90s rave spirit with a blue corduroy upper and glow-in-the-dark details.",5,1
CD3002-103,Jordan 'Why Not?' Zer0.3 PF,USD 0.00,"USD 10,995.00","USD 10,995.00",Nike,"One of the game's fiercest competitors, triple-double dynamo Russell Westbrook has the motor, muscle and mentality to match his fearlessness—with the stats to back it up. Built to hold up on outdoor courts, the Jordan ""Why Not?"" Zer0.3 PF is fine-tuned for players like Russ, who beat opponents with linear speed and aggressiveness.",5,2
CD0916-001,Nike Air Max 90 QS,USD 0.00,"USD 11,995.00","USD 11,995.00",Nike,"Originally designed by Tinker Hatfield in 1990, the Air Max 90 has been re-imagined. Widely considered one of the biggest cross-cultural icons of the early '00s, this iteration pays tribute to the influential 2003 ""Snakeskin"" release with premium materials and a bold twist on the original.",5,1
CK2351-601,Nike Daybreak,USD 0.00,"USD 7,995.00","USD 7,995.00",Nike,"Originally released in 1979, the Nike Daybreak is a blast from the past. Featuring the same rubber Waffle outsole and nylon upper, it gives you true vintage style.",4.9,7
CI3703-401,Nike Air Max 2 Light,"USD 11,995.00","USD 9,597.00","USD 9,597.00",Nike,"Originally released in 1994, the Nike Air Max 2 Light returns as a near-exact replica of the iconic runner. A mesh and synthetic leather upper, moulded heel and vibrant Air Max unit honour the OG. The soft foam midsole optimises all-day comfort.",0,0
AO1741-003,Nike Air Max2 Light,"USD 11,995.00","USD 8,397.00","USD 8,397.00",Nike,"Originally released in 1994, the Nike Air Max2 Light returns as a near-exact replica of the iconic runner with style for the street. Its mesh and synthetic upper, moulded heel and Max Air unit honour the OG, while the soft foam midsole optimises all-day comfort.",3.7,3
AO2434-101,Zoom LeBron 3 QS,USD 0.00,"USD 14,995.00","USD 14,995.00",Nike,"Originally released in 2006, the Zoom LeBron 3 QS brings royalty to the street in the third iteration of the King's signature line. Nike Zoom Air cushioning, premium leather details and a throwback lion logo make this shoe a first draft pick.",0,0
BQ5190-101,Nike Drop-Type Mid,"USD 6,995.00","USD 4,897.00","USD 4,897.00",Nike,"Part of the N354 family that nods to Steve Prefontaine's fastest mile, the Nike Drop-Type Mid is inspired by classic tennis shoes in the NikeCourt family. With distinct design lines that borrow from the All Court 2, it puts a raw, experimental edge on an iconic look.",5,1
BQ5102-400,Nike Huarache Type,"USD 10,995.00","USD 6,597.00","USD 6,597.00",Nike,"Part of the N354 family that nods to Steve Prefontaine's fastest mile, the Nike Huarache Type is based on one of the most legendary sneakers from Nike's All Conditions Gear line-up, the Nike Mowabb. Using an adjustable approach to the Huarache system, this shoe is an exploration of fit and comfort.",4.5,2
AO3189-600,Nike Air Max FF 720,"USD 18,995.00","USD 13,297.00","USD 13,297.00",Nike,"Part shoe, part sandal, the Nike Air Max FF 720 takes you into a new realm of Air. Built specifically for a woman's foot, it features premium leather on heightened foam for bold versatility and unbelievable comfort. Cinch it up with its unique drawcord system and make the streets your runway.",3.5,6
CZ6156-101,Nike Air Max Verona,USD 0.00,"USD 9,995.00","USD 9,995.00",Nike,"Pass on the good vibes in the Nike Air Max Verona. Elegant and versatile, its mixed-material upper features a plush collar, flashy colours and unique stitching patterns. The Nike Air cushioning adds a modern twist, comfort and style to your journey.",0,0
CD5082-001,PG 4 EP,USD 0.00,"USD 8,995.00","USD 8,995.00",Nike,"Paul George is the rare high-percentage shooter who's also a coach's dream on D. Designed for his unrivalled 2-way game, the PG 4 EP unveils a new cushioning system that's lightweight, articulated and responsive, ideal for players like PG who go hard every play.",4.5,2
CD5086-500,PG 4 EP,USD 0.00,"USD 8,995.00","USD 8,995.00",Nike,"Paul George is the rare high-percentage shooter who's also a coach's dream on D. Designed for his unrivalled 2-way game, the PG 4 EP unveils a new cushioning system that's lightweight, articulated and responsive: ideal for players like Paul who go hard every play.",0,0
AO2607-401,PG 3,"USD 8,995.00","USD 7,197.00","USD 7,197.00",Nike,"Paul George's moon shot took him from Palmdale to basketball stardom, and now he's heading to new heights with clouds under his feet. Built on an outsole inspired by moon craters, the PG 3 combines sensational traction with responsive Zoom Air cushioning that helps you move seamlessly between offence and defence.",4,19
AO2607-401,PG 3,"USD 8,995.00","USD 7,197.00","USD 7,197.00",Nike,"Paul George's moon shot took him from Palmdale to basketball stardom, and now he's heading to new heights with clouds under his feet. Built on an outsole inspired by moon craters, the PG 3 combines sensational traction with responsive Zoom Air cushioning that helps you move seamlessly between offence and defence.",4,19
CI2666-400,PG 3 NASA,"USD 9,995.00","USD 7,997.00","USD 7,997.00",Nike,"Paul George's moon shot took him from Palmdale to basketball stardom, and now he's heading to new heights. This space-themed version of the PG 3 offers sensational traction, springy responsiveness and lightweight containment for seamless moves between offence and defence.",3.7,11
CI2666-400,PG 3 NASA,"USD 9,995.00","USD 7,997.00","USD 7,997.00",Nike,"Paul George's moon shot took him from Palmdale to basketball stardom, and now he's heading to new heights. This space-themed version of the PG 3 offers sensational traction, springy responsiveness and lightweight containment for seamless moves between offence and defence.",3.7,11
CD0189-001,Nike Fly.By Mid,USD 0.00,"USD 4,495.00","USD 4,495.00",Nike,"Players who go all out, every play, in every game deserve something special for their effort. The Nike Fly.By Mid provides court-ready cushioning, support and traction for the game's constant multi-directional movements.",0,0
AV1201-600,Jordan Trunner NXT React,USD 0.00,"USD 11,995.00","USD 11,995.00",Nike,"Ready for the toughest workouts, the Jordan Trunner NXT features incredibly responsive cushioning and a breathable, lightweight upper.",5,3
